Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20260901;SXXP;STOXX Europe 600;EU0009658202;FR50DO;;ATOS.PA;ATOS GROUP;FR;EUR;Euronext Paris;;1101;1038;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE906L;;ANODb.ST;ADDNODE GROUP B;SE;SEK;NASDAQ Stockholm;;1102;1112;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;PL00KU;;SNTP.WA;SYNEKTIK;PL;PLN;Warsaw SE;;1103;1131;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FR40LV;;PLNW.PA;PLANISWARE;FR;EUR;Euronext Paris;;1104;1095;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE30GP;;VISC.ST;Gruvaktiebolaget Viscaria;SE;SEK;NASDAQ Stockholm;;1105;1174;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;PL90DW;;APR.WA;AUTO PARTNER;PL;PLN;Warsaw SE;;1106;1104;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB60NK;;BOWL.L;HOLLYWOOD BOWL GROUP;GB;GBP;London SE;;1107;1080;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB10PH;;DOCS.L;DR MARTENS;GB;GBP;London SE;;1108;1088;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE70A8;;EVTG.DE;EVOTEC;DE;EUR;XETRA;;1109;1077;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;453890;;ATRLJb.ST;ATRIUM LJUNGBERG 'B';SE;SEK;NASDAQ Stockholm;;1110;1066;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT90EY;;SNL.MI;SANLORENZO;IT;EUR;Borsa Italiana;;1111;1092;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;AT1026;;PALF.VI;PALFINGER;AT;EUR;Wiener Boerse AG;;1112;1107;;;
